76141,8638596171.398697 27030419170.339 47676443237.52645 63248135609.80962 85514164999.54778,172771923.42797396 270304191.70339 476764432.3752645 632481356.0980963 855141649.9954778
582591,7254386902.517758 30668021836.5011 69462670964.92207 106184113938.90398 166368002578.7843,145087738.05035517 306680218.365011 694626709.6492207 1061841139.3890398 1663680025.787843
519887,6399330817.846031 44492617918.94866 128734365820.553 213332317433.59964 358889301076.6784,127986616.35692063 444926179.1894866 1287343658.20553 2133323174.3359964 3588893010.766784
583038,69404161684.06628 159629119049.45285 201077146974.19147 225364473792.58002 267297034175.39224,1388083233.6813257 1596291190.4945285 2010771469.7419147 2253644737.9258003 2672970341.7539225
219052,1496904140.6849377 11290872587.365171 34017999867.76611 57329229057.0073 98410932617.40428,29938082.813698754 112908725.87365171 340179998.6776611 573292290.570073 984109326.1740428
551061,43753911994.693306 133697666199.67113 223796539852.60233 294741373705.9145 403422984040.6656,875078239.8938662 1336976661.9967113 2237965398.5260234 2947413737.059145 4034229840.406656
641674,7094471694.024739 18939616247.4486 28165986601.78644 35465120528.30109 46793860074.94894,141889433.88049477 189396162.47448602 281659866.0178644 354651205.2830109 467938600.74948937
704510,1246348131.2539659 6636000815.645484 15913734901.18843 23786310987.785915 35467241882.18115,24926962.62507932 66360008.15645484 159137349.0118843 237863109.87785915 354672418.82181156
682867,2335416488.8866367 6366617436.877678 12595270368.254297 18750763426.944912 28481940880.254032,46708329.77773274 63666174.36877678 125952703.68254298 187507634.2694491 284819408.8025403
49,29483581500.997334 150488565738.0081 330855803577.17993 462994660464.3525 665445368672.8087,589671630.0199467 1504885657.380081 3308558035.7717996 4629946604.643525 6654453686.728087
267324,35321622078.98923 107590150572.23291 210452141899.8193 300268362533.264 446920889338.9183,706432441.5797845 1075901505.7223291 2104521418.998193 3002683625.3326397 4469208893.389183
549041,15979877614.18762 57800060614.32925 107098921439.80202 148559878396.86438 212629812988.42566,319597552.2837524 578000606.1432924 1070989214.3980201 1485598783.968644 2126298129.8842566
653756,5076808594.740602 16348937642.151075 30707384669.193893 43749469448.15068 64427055421.30415,101536171.89481203 163489376.42151076 307073846.69193894 437494694.4815068 644270554.2130415
114418,1562504414.156853 10713155417.56309 30967365728.04232 51391659823.59514 85790952965.13158,31250088.28313706 107131554.1756309 309673657.2804232 513916598.2359514 857909529.6513158
492948,2150307975.1225195 8408292612.343267 16957080454.562695 25128839704.64685 37837974729.16327,43006159.50245039 84082926.12343268 169570804.54562694 251288397.0464685 378379747.2916327
610868,20289742043.1301 51003380584.53187 72139291910.1382 86043994861.42955 106582130948.13663,405794840.862602 510033805.8453187 721392919.101382 860439948.6142955 1065821309.4813663
140840,7780137860.770752 19982008051.46687 33523234877.007698 44765131502.70272 63504490348.17858,155602757.21541503 199820080.5146687 335232348.770077 447651315.0270272 635044903.4817858
108045,16026982427.385756 67890654112.04852 140443186322.13583 198473934626.3625 289746073102.1713,320539648.5477151 678906541.1204852 1404431863.2213583 1984739346.263625 2897460731.0217133
530157,24144785969.86317 91177988887.20323 194251982763.25317 286026021287.15894 438457319346.9553,482895719.3972634 911779888.8720323 1942519827.632532 2860260212.871589 4384573193.469553
